id	alignment	repeat	reason
1094:34:B:1	no	false	An AFC Wimbledon fixture query is not a founding-history source for the proposed split.
1094:34:B:2	no	false	A 95th-minute fixture query does not establish a founding split.
1094:34:B:3	yes	false	Search directly requests Internazionale's formation through the AC Milan split.
1094:34:C:1	no	false	A Messi PSG fixture query is unrelated to the frozen club-founding gap.
1094:34:C:2	partial	false	Generic split-club search may discover a source but names no proposed founding event.
1094:34:C:3	partial	false	Generic breakaway-club search may discover histories but does not target the proposed club.
1094:45:B:1	partial	false	Adjacent PSG-Lille match context might reveal timing but cannot establish both club histories.
1094:45:B:2	partial	false	Search combines late kick and early scoring but names neither proposed club.
1094:45:B:3	no	false	Broad 2000s late-kick search is not tied to the PSG-Lille proposal or histories.
1094:45:C:1	partial	false	A founding-discord phrase may locate a club history without identifying the fixture.
1094:45:C:2	partial	false	Generic split-club search addresses only one required history.
1094:45:C:3	yes	false	Find checks the proposed PSG-Lille fixture's goal timeline, an unresolved part of its qualification.
1094:53:B:1	no	false	An unnamed 95th-minute free-kick search does not connect the two distinct leads.
1094:53:B:2	no	true	W42 already reports the Internazionale split; this query chiefly revisits that supported fact.
1094:53:B:3	partial	false	Generic name-history search could identify the second club but not its fixture with the first.
1094:53:B:4	partial	false	Generic founding phrase could locate a club but does not connect the fixture.
1094:53:C:1	partial	false	Specific Milan derby search probes a possible fixture but omits the decisive late kick.
1094:53:C:2	yes	false	Search tests whether a split-founded Inter fixture with AC Milan has the 95th-minute kick.
1094:53:C:3	yes	false	Match-report search tests the proposed Inter-Milan linkage to the late-kick clue.
1094:61:B:1	no	false	Inter-Tottenham fixture timing does not verify Internazionale's founding split.
1094:61:B:2	no	false	A Bale match report does not verify the club-origin clue.
1094:61:C:1	yes	false	Find seeks the 1908 split and foreign-player dispute in the promoted history source.
1094:61:C:2	no	false	A late-kick fixture search is separate from the frozen founding-history gap.
1094:69:B:1	no	false	Generic last-minute-goal document cannot link PSG-Lille to both club origins.
1094:69:B:2	no	false	An alternate Inter late-kick search does not test the proposed PSG-Lille fixture.
1094:69:B:3	no	false	An alternate Inter match chronology does not qualify the PSG-Lille proposal.
1094:69:C:1	no	false	AFC Wimbledon-MK Dons is a different proposed fixture from PSG-Lille.
1094:69:C:2	no	false	Alternate club-origin search does not test PSG-Lille's club histories.
1094:69:C:3	no	false	Alternate fixture chronology does not test PSG-Lille's timing.
1094:77:B:1	no	false	Generic last-minute-goal page does not identify PSG-Lille's clubs or scoring sequence.
1094:77:B:2	yes	false	PSG founding history directly tests one proposed club against the split-origin clue.
1094:77:B:3	yes	false	Lille founding history directly tests the proposed opponent against the identity-history clue.
1094:77:B:4	partial	false	Inter late-kick search tests an alternative lead, not PSG-Lille's complete qualification.
1094:77:C:1	partial	false	Generic discord phrase may find a history but is not anchored to PSG-Lille.
1094:77:C:2	partial	false	Generic identity phrase may find a history but is not anchored to PSG-Lille.
1094:77:C:3	no	false	Generic late-goal document cannot resolve the proposed fixture's club histories.
1094:77:C:4	no	false	Generic 95th-minute search is detached from PSG-Lille's identity and timing gap.
1094:93:B:1	partial	false	An Inter late-kick search may find an alternative match but cannot alone reconcile both club histories.
1094:93:B:2	partial	false	An Inter match-report search lacks the opponent and chronology needed to resolve the mismatch.
1094:93:B:3	partial	false	Repeated broad Inter late-kick search remains short of joint fixture and history validation.
1094:93:C:1	no	false	W74 belongs to an academy-team article unrelated to the proposed fixture.
1094:93:C:2	no	false	D53 is an academy-team article, not a source for the proposed 95th-minute fixture.
